"Page Title","Post Title","Published Date","Found Date","Channel","Link","Description","Category","Author","Content"
"Yahoo!Xtra Answers: Latest Questions","[ Facebook ] Open Question : help me to get facebook on my mobile?","2011-01-13T21:05:37Z","2011-01-13T21:05:37Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130537AAtWJur","Yahoo!Xtra Answers: Latest Questions","","","en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Video & Online Games ] Open Question : whats a good rpg for me and my friend?","2011-01-13T21:05:37Z","2011-01-13T21:05:37Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130536AAmCPHG","Yahoo!Xtra Answers: Latest Questions","","","Does anyone know any money cheats for sim's 3 ambitions for i-pod touch? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Renting & Real Estate ] Open Question : Would you rather your landlord show your place to new tenants or for you to show them?","2011-01-13T21:05:34Z","2011-01-13T21:05:34Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130534AAGtYjq","Yahoo!Xtra Answers: Latest Questions","","","Show me another » Would you rather your landlord show your place to new tenants or for you to show them? How long do you think the Economy/Housing Market will be in the current slump that it is in? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Video & Online Games ] Open Question : which is better? Xbox 360 or PS3?","2011-01-13T21:05:31Z","2011-01-13T21:05:31Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130531AAwdjSk","Yahoo!Xtra Answers: Latest Questions","","","Does anyone know any money cheats for sim's 3 ambitions for i-pod touch? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Comedy ] Open Question : a glory daze season 2?","2011-01-13T21:05:52Z","2011-01-13T21:05:52Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130552AAj6pyT","Yahoo!Xtra Answers: Latest Questions","","","en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Pain & Pain Management ] Open Question : why does my eat hurt so bad ?","2011-01-13T21:05:27Z","2011-01-13T21:05:27Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130527AAdegxF","Yahoo!Xtra Answers: Latest Questions","","","its been like this for like a week. my ear hurts real bad. like , its deep in my ear . when i talk or just open my mouth a little bit, that causes my ear to hurt. and when i yawn, and/or chew something , i can hear little pop sounds in my ear. when i breath in through my nose, it feels like pressure is building up in it. and i think im starting to slowly lose hearing? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ History ] Open Question : Which of the following was not a problem faced by ""mill girls"" in Massachusetts?","2011-01-13T21:05:31Z","2011-01-13T21:05:31Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130531AAiG2i4","Yahoo!Xtra Answers: Latest Questions","","","Show me another » Which of the following was not a problem faced by ""mill girls"" in Massachusetts? a)wage cuts b)increased workloads en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Politics ] Open Question : How many people think Yahoo Answers has a political agenda?","2011-01-13T21:05:51Z","2011-01-13T21:05:51Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130551AATXj6Q","Yahoo!Xtra Answers: Latest Questions","","","Show me another » How many people think Yahoo Answers has a political agenda? What is the difference between Palin and Bobby Clampett, the Beverly Hillbilly? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Facebook ] Open Question : Can't receive Facebook password reset emails?","2011-01-13T21:05:23Z","2011-01-13T21:05:23Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130523AAsB9Gt","Yahoo!Xtra Answers: Latest Questions","","","en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
"Yahoo!Xtra Answers: Latest Questions","[ Homework Help ] Open Question : help in system of equations!!!! math!!!!?","2011-01-13T21:05:29Z","2011-01-13T21:05:29Z","nz.answers.yahoo.com","http://nz.answers.yahoo.com/question/index?qid=20110113130528AAhomsr","Yahoo!Xtra Answers: Latest Questions","","","9. Solve the following system of equations. d + e = 6 d - e = 4 (Points : 4) (3, -1) (5, 1) no solution infinite number of solutions 10. Which equation will result if the substitution method is used to solve the following system of linear equations? x + y = 6 x = y + 5 (Points : 4) x + y = y + 5 (y + 5) + y = 6 x + (y + 5) = 6 x = (x - 6) + 5 12. Solve the following system of equations by linear combination: 3x + 2y = -7 5x - 4y = -19 (Points : 4) There is no solution. The solution is (-4, 2). I need help with Fredrick Jackson Turner's thesis for us history, help? en Español Yahoo!Xtra does not evaluate or guarantee the accuracy of any Yahoo!Xtra Answers content."
